,0
0,1.0
1,6.0
2,6.0
3,1.0
4,1.0
5,8.0
6,2.0
7,2.0
8,1.0
9,5.0
10,8.0
11,3.0
12,0.0
13,3.0
14,7.0
15,4.0
16,4.0
17,7.0
18,3.0
19,5.0
20,4.0
21,7.0
22,4.0
23,2.0
24,5.0
25,9.0
26,3.0
27,0.0
28,8.0
29,2.0
30,8.0
31,1.0
32,7.0
33,4.0
34,8.0
35,6.0
36,7.0
37,4.0
38,3.0
39,0.0
40,8.0
41,4.0
42,9.0
43,9.0
44,5.0
45,0.0
46,6.0
47,1.0
48,7.0
49,1.0
50,7.0
51,0.0
52,3.0
53,6.0
54,1.0
55,2.0
56,9.0
57,7.0
58,4.0
59,7.0
60,4.0
61,2.0
62,1.0
63,7.0
64,4.0
65,1.0
66,9.0
67,9.0
68,6.0
69,2.0
70,5.0
71,8.0
72,8.0
73,8.0
74,0.0
75,6.0
76,0.0
77,2.0
78,1.0
79,3.0
80,0.0
81,3.0
82,4.0
83,8.0
84,0.0
85,0.0
86,3.0
87,3.0
88,8.0
89,6.0
90,1.0
91,1.0
92,0.0
93,5.0
94,4.0
95,7.0
96,5.0
97,6.0
98,6.0
99,1.0
100,3.0
101,1.0
102,8.0
103,1.0
104,9.0
105,1.0
106,5.0
107,2.0
108,2.0
109,8.0
110,8.0
111,1.0
112,7.0
113,1.0
114,6.0
115,9.0
116,8.0
117,9.0
118,1.0
119,3.0
120,4.0
121,1.0
122,1.0
123,5.0
124,7.0
125,8.0
126,8.0
127,5.0
128,6.0
129,7.0
130,1.0
131,4.0
132,0.0
133,2.0
134,4.0
135,4.0
136,2.0
137,2.0
138,5.0
139,5.0
140,8.0
141,4.0
142,0.0
143,8.0
144,4.0
145,6.0
146,5.0
147,3.0
148,6.0
149,5.0
150,5.0
151,9.0
152,8.0
153,3.0
154,7.0
155,0.0
156,4.0
157,9.0
158,2.0
159,7.0
160,6.0
161,1.0
162,6.0
163,8.0
164,8.0
165,8.0
166,6.0
167,0.0
168,0.0
169,4.0
170,7.0
171,6.0
172,7.0
173,8.0
174,1.0
175,2.0
176,2.0
177,8.0
178,9.0
179,3.0
180,0.0
181,6.0
182,0.0
183,8.0
184,6.0
185,4.0
186,1.0
187,1.0
188,7.0
189,1.0
190,3.0
191,8.0
192,4.0
193,9.0
194,3.0
195,0.0
196,1.0
197,2.0
198,2.0
199,4.0
200,5.0
201,4.0
202,9.0
203,8.0
204,4.0
205,6.0
206,3.0
207,0.0
208,0.0
209,1.0
210,8.0
211,5.0
212,4.0
213,7.0
214,7.0
215,7.0
216,9.0
217,5.0
218,5.0
219,0.0
220,3.0
221,4.0
222,9.0
223,7.0
224,5.0
225,4.0
226,6.0
227,3.0
228,8.0
229,9.0
230,8.0
231,3.0
232,4.0
233,4.0
234,2.0
235,9.0
236,3.0
237,1.0
238,1.0
239,4.0
240,3.0
241,6.0
242,8.0
243,0.0
244,4.0
245,5.0
246,0.0
247,6.0
248,3.0
249,1.0
250,5.0
251,3.0
252,8.0
253,4.0
254,3.0
255,7.0
256,5.0
257,7.0
258,3.0
259,2.0
260,8.0
261,8.0
262,8.0
263,2.0
264,0.0
265,6.0
266,2.0
267,7.0
268,7.0
269,4.0
270,2.0
271,2.0
272,3.0
273,8.0
274,3.0
275,3.0
276,2.0
277,0.0
278,1.0
279,3.0
280,6.0
281,6.0
282,8.0
283,2.0
284,7.0
285,1.0
286,0.0
287,3.0
288,9.0
289,0.0
290,7.0
291,1.0
292,9.0
293,7.0
294,8.0
295,0.0
296,9.0
297,8.0
298,5.0
299,8.0
300,4.0
301,6.0
302,4.0
303,6.0
304,1.0
305,3.0
306,2.0
307,0.0
308,0.0
309,1.0
310,3.0
311,6.0
312,5.0
313,1.0
314,6.0
315,6.0
316,4.0
317,1.0
318,2.0
319,4.0
320,9.0
321,9.0
322,6.0
323,9.0
324,4.0
325,3.0
326,7.0
327,5.0
328,3.0
329,5.0
330,5.0
331,6.0
332,0.0
333,4.0
334,8.0
335,3.0
336,9.0
337,4.0
338,6.0
339,4.0
340,8.0
341,6.0
342,3.0
343,6.0
344,1.0
345,5.0
346,6.0
347,4.0
348,7.0
349,3.0
350,6.0
351,8.0
352,5.0
353,5.0
354,6.0
355,1.0
356,4.0
357,7.0
358,2.0
359,2.0
360,2.0
361,6.0
362,1.0
363,3.0
364,1.0
365,8.0
366,2.0
367,1.0
368,4.0
369,2.0
370,8.0
371,9.0
372,7.0
373,4.0
374,7.0
375,3.0
376,0.0
377,6.0
378,7.0
379,1.0
380,2.0
381,4.0
382,5.0
383,6.0
384,0.0
385,8.0
386,1.0
387,9.0
388,4.0
389,6.0
390,1.0
391,3.0
392,3.0
393,8.0
394,2.0
395,0.0
396,1.0
397,3.0
398,2.0
399,1.0
400,3.0
401,8.0
402,3.0
403,1.0
404,7.0
405,7.0
406,6.0
407,3.0
408,2.0
409,6.0
410,1.0
411,2.0
412,7.0
413,6.0
414,7.0
415,5.0
416,7.0
417,9.0
418,5.0
419,8.0
420,4.0
421,7.0
422,2.0
423,8.0
424,5.0
425,9.0
426,1.0
